City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country
0,North Bend,43.4065,-124.2243,52.86,85,75,17.27,broken clouds,US
1,Vaini,-21.2,-175.2,82.56,83,75,6.91,broken clouds,TO
2,Jamestown,42.097,-79.2353,54.99,49,0,10.36,clear sky,US
3,Komsomolskiy,40.4272,71.7189,51.22,87,100,4.61,mist,UZ
4,Makakilo City,21.3469,-158.0858,79.12,53,0,10.36,clear sky,US
5,Bredasdorp,-34.5322,20.0403,69.28,83,64,12.66,broken clouds,ZA
6,Mataura,-46.1927,168.8643,74.48,43,100,10.67,overcast clouds,NZ
7,Bengkulu,-3.8004,102.2655,77.92,81,71,2.73,light rain,ID
8,Buchanan,5.8808,-10.0467,79.07,89,3,6.2,clear sky,LR
9,Shache,38.4167,77.2406,41.88,33,39,3.33,scattered clouds,CN
10,Khatanga,71.9667,102.5,-22.74,99,100,4.05,overcast clouds,RU
11,Puerto Colombia,10.9878,-74.9547,80.69,80,83,28.19,broken clouds,CO
12,Half Moon Bay,37.4636,-122.4286,57.88,68,0,20.71,haze,US
13,Albany,42.6001,-73.9662,40.95,51,100,5.46,overcast clouds,US
14,Besikduzu,41.052,39.2284,44.49,75,100,5.53,overcast clouds,TR
15,Samfya,-11.3649,29.5565,65.41,94,100,0.6,light rain,ZM
16,Barrow,71.2906,-156.7887,10.42,72,0,9.22,clear sky,US
17,Neuquen,-38.9516,-68.0591,60.69,55,0,2.3,clear sky,AR
18,Cape Town,-33.9258,18.4232,71.11,74,0,4.61,clear sky,ZA
19,Ushuaia,-54.8,-68.3,42.46,75,40,17.27,scattered clouds,AR
20,Atuona,-9.8,-139.0333,77.74,80,88,14.9,light rain,PF
21,Ongandjera,-17.8833,15.0667,69.06,41,100,10.0,overcast clouds,NA
22,Puerto Ayora,-0.7393,-90.3518,77.56,88,68,3.0,broken clouds,EC
23,Castro,-24.7911,-50.0119,64.27,91,8,2.51,clear sky,BR
24,Broome,42.2506,-75.833,44.02,58,0,11.99,clear sky,US
25,Salina Cruz,16.1667,-95.2,81.28,63,7,8.41,clear sky,MX
26,Rikitea,-23.1203,-134.9692,79.79,75,15,19.51,few clouds,PF
27,Hithadhoo,-0.6,73.0833,82.29,70,4,7.83,clear sky,MV
28,Port Alfred,-33.5906,26.891,70.93,83,99,20.62,overcast clouds,ZA
29,Inhambane,-23.865,35.3833,75.9,90,20,8.97,light rain,MZ
30,Cidreira,-30.1811,-50.2056,76.89,91,79,17.2,moderate rain,BR
31,Paamiut,61.994,-49.6678,18.52,90,100,17.29,light snow,GL
32,Saskylakh,71.9167,114.0833,-13.22,98,100,2.95,overcast clouds,RU
33,Kaitangata,-46.2817,169.8464,73.94,40,37,5.55,scattered clouds,NZ
34,Butaritari,3.0707,172.7902,82.02,76,100,20.29,overcast clouds,KI
35,Hamilton,39.1834,-84.5333,70.43,56,100,12.66,overcast clouds,US
36,Bluff,-46.6,168.3333,74.8,60,100,16.11,overcast clouds,NZ
37,Coahuayana,18.7333,-103.6833,81.88,75,0,3.22,clear sky,MX
38,Ilhabela,-23.7781,-45.3581,76.35,88,8,5.06,clear sky,BR
39,Vila Franca Do Campo,37.7167,-25.4333,64.2,91,98,5.5,overcast clouds,PT
40,Auki,-8.7676,160.7034,87.51,60,10,3.74,clear sky,SB
41,Nanyang,32.9947,112.5328,51.17,35,100,12.19,light rain,CN
42,Nioro,13.35,-15.75,77.43,7,46,8.77,scattered clouds,GM
43,Port Lincoln,-34.7333,135.8667,64.65,64,100,18.75,overcast clouds,AU
44,Dikson,73.5069,80.5464,-27.15,100,100,8.12,overcast clouds,RU
45,San Carlos De Bariloche,-41.1456,-71.3082,51.55,50,75,14.97,broken clouds,AR
46,New Norfolk,-42.7826,147.0587,61.66,42,65,1.99,broken clouds,AU
47,Yagodnoye,62.55,149.6667,-7.04,96,77,2.06,broken clouds,RU
48,Tankara,22.6667,70.7333,67.06,28,5,7.9,clear sky,IN
49,Punta Arenas,-53.15,-70.9167,44.71,70,0,8.05,clear sky,CL
50,Ariquemes,-9.9133,-63.0408,72.41,95,100,1.57,overcast clouds,BR
51,Port Elizabeth,-33.918,25.5701,68.29,88,0,10.36,clear sky,ZA
52,Businga,3.3333,20.8833,72.03,83,58,1.86,broken clouds,CD
53,Ostrovnoy,68.0531,39.5131,14.34,88,100,12.19,overcast clouds,RU
54,Hermanus,-34.4187,19.2345,70.9,86,0,9.01,clear sky,ZA
55,Kolondieba,11.0882,-6.8926,79.7,18,4,5.19,clear sky,ML
